Sites,To Calakmul,From Calakmul,precipitation,cost_from_calakmul,prec_corr_calakmul
Cancuen,2,0,202.799,3440.733492,0.6965938
Caracol,5,0,128.9994,6486.875142,0.1027219
Copan,1,0,200.1433,12066.25739,0.02578214
Dos Pilas,7,0,152.4631,2843.821396,0.2309905
Dzibanche,7,0,87.6074,1152.562746,0.2523353
El Peru,5,0,86.70565,1115.808422,0.6426078
La Corona,5,0,87.94302,934.0986474,0.8643568
Naj Tunich,1,0,199.0025,6513.944473,0.1958545
Naranjo,4,0,68.77898,2649.140339,0.2662528
Palenque,2,0,163.5952,3005.402409,0.05165581
Piedras Negras,1,0,150.3575,3693.436017,0.5540501
Seibal,1,0,141.0967,2678.583705,0.1460727
Tikal,3,1,69.29356,2046.425276,0.3448802
Yaxchilan,3,0,154.2345,3817.697189,0.2922967
