City,Cases,NormalCases,MaxDays,WeightedMean,Normal,Minimum,Ratio
Alexandria,266,19,89,65,55,17,323
Antwerp,83,13,36,20,16,8,200
Augsburg,110,19,21,11,12,5,240
Barcelona,171,16,77,22,19,8,237
Blois,345,53,27,14,10,4.5,222
Brussels,138,24,35,16,10,9,111
Budapest,317,39,35,18,19,7,271
Burgos,79,13,42,27,27,11,245
Cairo,41,13,10,7,8,3,266
Calais,62,15,32,18,14,12,116
Candia,56,16,81,38,33,19,163
Constantinople,365,46,81,37,34,15,226
Corfu,316,39,45,19,15,7,214
Damascus,56,17,102,80,76,28,271
Florence,387,103,13,4,3,1,300
Genoa,215,58,15,6,6,2,300
Innsbruck,163,41,16,7,6,4,150
Lisbon,35,9,69,46,43,27,159
London,672,78,52,27,24,9,266
Lyon,812,225,25,12,13,4,325
Marseilles,26,7,21,14,12,8,150
Milan,871,329,8,3,3,1,300
Naples,682,180,20,9,8,4,200
Nauplia,295,56,60,36,34,18,188
Nuremburg,39,11,32,20,21,8,262
Palermo,118,23,48,22,25,8,312
Paris,473,62,34,12,12,7,171
Ragusa,95,18,26,13,14,5,280
Rome,1053,406,9,4,4,1.5,266
Trano,94,14,30,12,12,4,300
Trento,205,82,7,3,3,1,300
Udine,552,214,6,2,2,1.5,133
Valladolid,124,15,63,29,23,12,191
Vienna,145,32,32,24,13,8,162
Zara,153,28,25,8,6,1,600
